transaction_id,customer_id,age,gender,credit_score,account_balance,account_age_days,transaction_amount,transaction_type,merchant_category,hour_of_day,day_of_week,num_transactions_24h,distance_from_home_km,is_foreign_transaction,pin_attempts,velocity_score,days_since_last_transaction,is_fraud
TXN0000001,CUST18032,48,Male,649,82231.9,631,370.38,Transfer,Online Services,8,1,5,129.19,0,1,83.19,3.2,0
TXN0000002,CUST79655,40,Female,731,283.58,4771,43.88,Transfer,Online Services,4,5,5,29.86,0,1,13.65,4.8,0
TXN0000003,CUST68910,51,Male,487,55648.7,4477,207.93,Withdrawal,Food & Dining,13,5,6,337.32,1,1,85.06,1.9,0
TXN0000004,CUST49498,63,Male,662,818.12,840,5.3,Withdrawal,Retail,17,3,4,73.38,0,1,12.92,1.1,1
TXN0000005,CUST48970,38,Other,695,8339.66,433,26.72,Debit,ATM,20,3,2,5.8,0,1,53.19,0.6,0
TXN0000006,CUST87272,38,Female,558,10332.12,4719,2117.31,Debit,Travel,5,4,6,0.1,0,1,54.31,2.8,0
TXN0000007,CUST17735,64,Male,818,6917.73,2304,989.54,Credit,Online Services,1,0,10,30.63,0,1,32.42,0.0,0
TXN0000008,CUST72762,52,Female,623,271373.45,2257,1751.09,Debit,Food & Dining,14,0,1,7.73,0,1,52.03,6.6,0
TXN0000009,CUST28132,35,Male,654,2859.79,3047,701.55,Credit,Retail,13,2,0,7.44,1,1,42.26,4.0,0
TXN0000010,CUST18475,49,Male,647,256.96,1468,28.75,Credit,Retail,10,4,3,51.51,1,1,26.96,10.7,0
TXN0000011,CUST57382,35,Female,473,9335.73,2913,35.97,Transfer,Travel,10,6,2,36.29,0,1,39.23,2.3,0
TXN0000012,CUST97805,35,Male,773,3618.91,3414,534.14,Debit,Retail,10,2,4,88.52,0,1,16.09,3.7,0
TXN0000013,CUST76216,45,Female,561,13341.6,693,628.91,Credit,Food & Dining,22,1,4,14.3,0,1,66.79,1.0,0
TXN0000014,CUST78501,18,Male,639,24047.14,2014,1091.04,Transfer,Retail,23,2,4,111.23,0,1,19.27,0.6,0
TXN0000015,CUST74572,18,Male,729,4625.59,183,127.46,Withdrawal,Healthcare,7,2,0,4.24,0,1,78.55,0.4,0
TXN0000016,CUST80745,34,Female,822,10779.04,3918,80.1,Withdrawal,Gambling,21,3,3,13.28,0,1,15.58,5.1,1
TXN0000017,CUST56189,27,Male,548,6371.74,762,775.32,Credit,Retail,13,2,2,83.29,0,2,51.77,1.3,0
TXN0000018,CUST21530,46,Female,616,123673.14,835,5.76,Credit,Retail,19,3,3,21.31,0,1,74.53,1.1,0
TXN0000019,CUST85576,29,Female,814,2522.46,3137,66.42,Debit,Travel,1,6,5,27.14,1,1,46.94,0.1,0
TXN0000020,CUST50534,22,Female,715,1426.92,4247,56.61,Debit,Retail,0,1,4,136.62,0,1,10.76,2.4,0
TXN0000021,CUST55031,62,Female,737,23988.16,211,57.82,Withdrawal,Food & Dining,12,6,5,61.06,0,1,46.13,1.4,0
TXN0000022,CUST43371,38,Male,551,922.86,3709,977.79,Withdrawal,Utilities,23,2,3,59.28,0,1,9.37,1.2,0
TXN0000023,CUST26429,42,Female,624,9955.54,4098,274.22,Debit,ATM,20,4,3,30.6,0,1,16.29,0.1,0
TXN0000024,CUST93407,22,Female,646,3621.85,3205,112.44,Online Purchase,Utilities,8,1,2,204.51,0,1,69.67,0.1,0
